cue,targetLoc,cond,target,corrAns,cueFile,targetFile
upper,upper,con,l,left,stim/upper.png,stim/lcon.png
upper,upper,con,r,right,stim/upper.png,stim/rcon.png
upper,upper,incon,l,left,stim/upper.png,stim/lincon.png
upper,upper,incon,r,right,stim/upper.png,stim/rincon.png
upper,upper,neut,l,left,stim/upper.png,stim/lneut.png
upper,upper,neut,r,right,stim/upper.png,stim/rneut.png
lower,lower,con,l,left,stim/lower.png,stim/lcon.png
lower,lower,con,r,right,stim/lower.png,stim/rcon.png
lower,lower,incon,l,left,stim/lower.png,stim/lincon.png
lower,lower,incon,r,right,stim/lower.png,stim/rincon.png
lower,lower,neut,l,left,stim/lower.png,stim/lneut.png
lower,lower,neut,r,right,stim/lower.png,stim/rneut.png
both,upper,con,l,left,stim/both.png,stim/lcon.png
both,upper,con,r,right,stim/both.png,stim/rcon.png
both,upper,incon,l,left,stim/both.png,stim/lincon.png
both,upper,incon,r,right,stim/both.png,stim/rincon.png
both,upper,neut,l,left,stim/both.png,stim/lneut.png
both,upper,neut,r,right,stim/both.png,stim/rneut.png
both,lower,con,l,left,stim/both.png,stim/lcon.png
both,lower,con,r,right,stim/both.png,stim/rcon.png
both,lower,incon,l,left,stim/both.png,stim/lincon.png
both,lower,incon,r,right,stim/both.png,stim/rincon.png
both,lower,neut,l,left,stim/both.png,stim/lneut.png
both,lower,neut,r,right,stim/both.png,stim/rneut.png
center,upper,con,l,left,stim/center.png,stim/lcon.png
center,upper,con,r,right,stim/center.png,stim/rcon.png
center,upper,incon,l,left,stim/center.png,stim/lincon.png
center,upper,incon,r,right,stim/center.png,stim/rincon.png
center,upper,neut,l,left,stim/center.png,stim/lneut.png
center,upper,neut,r,right,stim/center.png,stim/rneut.png
center,lower,con,l,left,stim/center.png,stim/lcon.png
center,lower,con,r,right,stim/center.png,stim/rcon.png
center,lower,incon,l,left,stim/center.png,stim/lincon.png
center,lower,incon,r,right,stim/center.png,stim/rincon.png
center,lower,neut,l,left,stim/center.png,stim/lneut.png
center,lower,neut,r,right,stim/center.png,stim/rneut.png
blank,upper,con,l,left,stim/blank.png,stim/lcon.png
blank,upper,con,r,right,stim/blank.png,stim/rcon.png
blank,upper,incon,l,left,stim/blank.png,stim/lincon.png
blank,upper,incon,r,right,stim/blank.png,stim/rincon.png
blank,upper,neut,l,left,stim/blank.png,stim/lneut.png
blank,upper,neut,r,right,stim/blank.png,stim/rneut.png
blank,lower,con,l,left,stim/blank.png,stim/lcon.png
blank,lower,con,r,right,stim/blank.png,stim/rcon.png
blank,lower,incon,l,left,stim/blank.png,stim/lincon.png
blank,lower,incon,r,right,stim/blank.png,stim/rincon.png
blank,lower,neut,l,left,stim/blank.png,stim/lneut.png
blank,lower,neut,r,right,stim/blank.png,stim/rneut.png
